date,city,district,official,personal,commercial,total
20-Dec,부산,계,"4,658","1,291,017","133,365","1,429,040"
20-Dec,대구,남구,351,"56,056","1,656","58,063"
20-Dec,대구,달서구,493,"270,482","14,045","285,020"
20-Dec,대구,달성군,545,"132,991","5,048","138,584"
20-Dec,대구,동구,358,"153,099","11,172","164,629"
20-Dec,대구,북구,502,"201,427","7,533","209,462"
20-Dec,대구,서구,250,"69,369","3,911","73,530"
20-Dec,대구,수성구,579,"214,842","5,271","220,692"
20-Dec,대구,중구,304,"66,408","2,504","69,216"
20-Dec,대구,계,"3,382","1,164,674","51,140","1,219,196"
20-Dec,인천,강화군,333,"34,590","38,913","73,836"
20-Dec,인천,계양구,287,"119,360","200,932","320,579"
20-Dec,인천,남동구,829,"253,019","51,846","305,694"
20-Dec,인천,동구,92,"24,738","2,557","27,387"
20-Dec,인천,미추홀구,423,"160,194","10,409","171,026"
20-Dec,인천,부평구,336,"214,955","21,746","237,037"
20-Dec,인천,서구,426,"239,763","11,294","251,483"
20-Dec,인천,연수구,408,"192,021","7,979","200,408"
20-Dec,인천,옹진군,211,"11,998",209,"12,418"
20-Dec,인천,중구,703,"64,054","11,817","76,574"
20-Dec,인천,계,"4,048","1,314,692","357,702","1,676,442"
20-Dec,광주,광산구,507,"194,041","12,394","206,942"
20-Dec,광주,남구,213,"90,058","2,797","93,068"
20-Dec,광주,동구,234,"42,317","1,268","43,819"
20-Dec,광주,북구,631,"188,528","9,070","198,229"
20-Dec,광주,서구,632,"142,379","6,671","149,682"
20-Dec,광주,계,"2,217","657,323","32,200","691,740"
20-Dec,대전,대덕구,235,"85,791","6,828","92,854"
20-Dec,대전,동구,247,"89,522","4,671","94,440"
20-Dec,대전,서구,805,"205,514","7,395","213,714"
20-Dec,대전,유성구,377,"177,758","4,790","182,925"
20-Dec,대전,중구,235,"96,492","5,769","102,496"
20-Dec,대전,계,"1,899","655,077","29,453","686,429"
20-Dec,울산,남구,713,"153,353","7,360","161,426"
20-Dec,울산,동구,181,"61,595","1,070","62,846"
20-Dec,울산,북구,223,"114,212","3,907","118,342"
20-Dec,울산,울주군,385,"122,862","6,834","130,081"
20-Dec,울산,중구,336,"100,156","2,513","103,005"
20-Dec,울산,계,"1,838","552,178","21,684","575,700"
20-Dec,세종,세종특별자치시,772,"171,127","2,843","174,742"
20-Dec,세종,계,772,"171,127","2,843","174,742"
20-Dec,경기,가평군,375,"30,599",566,"31,540"
20-Dec,경기,고양시 덕양구,668,"177,802","3,981","182,451"
20-Dec,경기,고양시 일산동구,278,"123,430","5,738","129,446"
20-Dec,경기,고양시 일산서구,125,"116,326","4,244","120,695"
20-Dec,경기,과천시,715,"23,076",618,"24,409"
20-Dec,경기,광명시,304,"99,931","4,302","104,537"
20-Dec,경기,광주시,389,"190,189","8,413","198,991"
20-Dec,경기,구리시,262,"70,594","2,647","73,503"
20-Dec,경기,군포시,301,"98,149","5,133","103,583"
20-Dec,경기,김포시,491,"220,592","7,717","228,800"
20-Dec,경기,남양주시,742,"294,089","8,298","303,129"
20-Dec,경기,동두천시,215,"37,609","1,439","39,263"
20-Dec,경기,부천시,695,"294,081","12,486","307,262"
20-Dec,경기,성남시 분당구,371,"183,364","6,870","190,605"
20-Dec,경기,성남시 수정구,350,"76,959","2,512","79,821"
20-Dec,경기,성남시 중원구,341,"71,069","4,066","75,476"
20-Dec,경기,수원시 권선구,487,"192,360","8,630","201,477"
20-Dec,경기,수원시 영통구,226,"147,103","3,228","150,557"
20-Dec,경기,수원시 장안구,462,"101,364","3,866","105,692"
20-Dec,경기,수원시 팔달구,505,"68,433","2,914","71,852"
20-Dec,경기,시흥시,457,"242,624","7,785","250,866"
20-Dec,경기,안산시 단원구,555,"153,987","8,086","162,628"
20-Dec,경기,안산시 상록구,173,"141,752","4,952","146,877"
20-Dec,경기,안성시,395,"103,140","4,920","108,455"
20-Dec,경기,안양시 동안구,401,"115,239","6,330","121,970"
20-Dec,경기,안양시 만안구,162,"83,272","3,893","87,327"
20-Dec,경기,양주시,384,"106,652","3,145","110,181"
20-Dec,경기,양평군,559,"59,754","1,821","62,134"
20-Dec,경기,여주시,445,"62,428","7,479","70,352"
20-Dec,경기,연천군,316,"23,691","5,296","29,303"
20-Dec,경기,오산시,211,"105,711","3,452","109,374"
20-Dec,경기,용인시 기흥구,129,"187,711","6,276","194,116"
20-Dec,경기,용인시 수지구,50,"144,104","2,404","146,558"
20-Dec,경기,용인시 처인구,763,"129,926","7,364","138,053"
20-Dec,경기,의왕시,297,"64,354","2,953","67,604"
20-Dec,경기,의정부시,723,"161,651","5,087","167,461"
20-Dec,경기,이천시,406,"112,259","5,972","118,637"
20-Dec,경기,파주시,537,"211,671","10,314","222,522"
20-Dec,경기,평택시,730,"278,805","12,200","291,735"
20-Dec,경기,포천시,395,"84,982","10,062","95,439"
20-Dec,경기,하남시,397,"121,048","2,864","124,309"
20-Dec,경기,화성시,925,"442,245","11,966","455,136"
20-Dec,경기,계,"17,712","5,754,125","232,289","6,004,126"
20-Dec,강원,강릉시,538,"107,259","4,599","112,396"
20-Dec,강원,고성군,188,"14,258",225,"14,671"
20-Dec,강원,동해시,309,"45,109","1,430","46,848"
20-Dec,강원,삼척시,400,"32,144",768,"33,312"
20-Dec,강원,속초시,300,"38,054","1,357","39,711"
20-Dec,강원,양구군,192,"11,954",121,"12,267"
20-Dec,강원,양양군,189,"15,740",306,"16,235"
20-Dec,강원,영월군,335,"21,098",356,"21,789"
20-Dec,강원,원주시,584,"172,966","5,701","179,251"
20-Dec,강원,인제군,218,"18,391",304,"18,913"
20-Dec,강원,정선군,335,"20,659",482,"21,476"
20-Dec,강원,철원군,234,"24,105",313,"24,652"
20-Dec,강원,춘천시,826,"132,283","6,044","139,153"
20-Dec,강원,태백시,231,"20,047",737,"21,015"
20-Dec,강원,평창군,293,"25,517",510,"26,320"
20-Dec,강원,홍천군,433,"38,773","1,054","40,260"
20-Dec,강원,화천군,227,"12,973",189,"13,389"
20-Dec,강원,횡성군,252,"26,485",704,"27,441"
20-Dec,강원,계,"6,084","777,815","25,200","809,099"
20-Dec,충북,괴산군,209,"23,401",409,"24,019"
20-Dec,충북,단양군,223,"15,640",772,"16,635"
20-Dec,충북,보은군,231,"17,957","1,003","19,191"
20-Dec,충북,영동군,247,"24,935",392,"25,574"
20-Dec,충북,옥천군,203,"26,833","1,130","28,166"
20-Dec,충북,음성군,231,"58,189","1,893","60,313"
20-Dec,충북,제천시,336,"66,954","3,421","70,711"
20-Dec,충북,증평군,88,"19,096",765,"19,949"
20-Dec,충북,진천군,216,"49,228","1,350","50,794"
20-Dec,충북,청원군,1,19,0,20
20-Dec,충북,청주시 상당구,517,"89,595","2,598","92,710"
20-Dec,충북,청주시 서원구,239,"94,381","4,315","98,935"
20-Dec,충북,청주시 청원구,351,"102,365","3,999","106,715"
20-Dec,충북,청주시 흥덕구,364,"128,062","7,871","136,297"
20-Dec,충북,충주시,592,"108,914","6,085","115,591"
20-Dec,충북,계,"4,048","825,569","36,003","865,620"
20-Dec,충남,계룡시,156,"21,959",531,"22,646"
20-Dec,충남,공주시,570,"53,568","2,510","56,648"
20-Dec,충남,금산군,186,"28,493","2,212","30,891"
20-Dec,충남,논산시,399,"60,740","2,395","63,534"
20-Dec,충남,당진시,393,"94,352","3,959","98,704"
20-Dec,충남,보령시,405,"52,178","1,322","53,905"
20-Dec,충남,부여군,305,"34,110","1,185","35,600"
20-Dec,충남,서산시,404,"94,211","3,421","98,036"
20-Dec,충남,서천군,239,"26,884",880,"28,003"
20-Dec,충남,아산시,527,"165,936","6,697","173,160"
20-Dec,충남,예산군,398,"42,806","1,373","44,577"
20-Dec,충남,천안시 동남구,270,"130,765","4,918","135,953"
20-Dec,충남,천안시 서북구,534,"194,785","5,453","200,772"
20-Dec,충남,청양군,250,"16,835",821,"17,906"
20-Dec,충남,태안군,303,"34,203",552,"35,058"
20-Dec,충남,홍성군,415,"52,577","1,460","54,452"
20-Dec,충남,계,"5,754","1,104,402","39,689","1,149,845"
20-Dec,전북,고창군,293,"30,300",574,"31,167"
20-Dec,전북,군산시,550,"129,738","6,359","136,647"
20-Dec,전북,김제시,294,"44,966","2,013","47,273"
20-Dec,전북,남원시,404,"40,624","4,548","45,576"
20-Dec,전북,무주군,195,"12,802",398,"13,395"
20-Dec,전북,부안군,260,"27,277",618,"28,155"
20-Dec,전북,순창군,241,"14,533",153,"14,927"
20-Dec,전북,완주군,409,"51,136","3,163","54,708"
20-Dec,전북,익산시,512,"135,856","5,932","142,300"
20-Dec,전북,임실군,216,"14,204",422,"14,842"
20-Dec,전북,장수군,251,"12,038",172,"12,461"
20-Dec,전북,전주시 덕진구,377,"170,997","7,207","178,581"
20-Dec,전북,전주시 완산구,718,"150,873","4,214","155,805"
20-Dec,전북,정읍시,336,"53,956","3,638","57,930"
20-Dec,전북,진안군,234,"13,921",225,"14,380"
20-Dec,전북,계,"5,290","903,221","39,636","948,147"
20-Dec,전남,강진군,219,"18,505","1,104","19,828"
20-Dec,전남,고흥군,299,"31,813",615,"32,727"
20-Dec,전남,곡성군,155,"14,654",728,"15,537"
20-Dec,전남,광양시,249,"82,523","5,888","88,660"
20-Dec,전남,구례군,136,"13,087",705,"13,928"
20-Dec,전남,나주시,473,"64,011","3,242","67,726"
20-Dec,전남,담양군,225,"26,469","1,596","28,290"
20-Dec,전남,목포시,432,"95,404","5,588","101,424"
20-Dec,전남,무안군,548,"45,661","1,029","47,238"
20-Dec,전남,보성군,202,"21,557","25,541","47,300"
20-Dec,전남,순천시,489,"139,377","5,156","145,022"
20-Dec,전남,신안군,310,"20,961","45,192","66,463"
20-Dec,전남,여수시,529,"130,803","7,122","138,454"
20-Dec,전남,영광군,206,"27,555",781,"28,542"
20-Dec,전남,영암군,263,"33,245","9,542","43,050"
20-Dec,전남,완도군,244,"25,349",514,"26,107"
20-Dec,전남,장성군,195,"26,472","1,143","27,810"
20-Dec,전남,장흥군,243,"19,975",446,"20,664"
20-Dec,전남,진도군,167,"17,024",296,"17,487"
20-Dec,전남,함평군,201,"18,009","28,168","46,378"
20-Dec,전남,해남군,362,"39,250","2,911","42,523"
20-Dec,전남,화순군,220,"32,445","2,071","34,736"
20-Dec,전남,계,"6,367","944,149","149,378","1,099,894"
20-Dec,경북,경산시,326,"136,495","4,453","141,274"
20-Dec,경북,경주시,586,"140,376","4,558","145,520"
20-Dec,경북,고령군,174,"20,352",676,"21,202"
20-Dec,경북,구미시,549,"212,504","7,264","220,317"
20-Dec,경북,군위군,125,"14,821",303,"15,249"
20-Dec,경북,김천시,389,"73,766","1,908","76,063"
20-Dec,경북,문경시,274,"36,573",837,"37,684"
20-Dec,경북,봉화군,209,"17,875",198,"18,282"
20-Dec,경북,상주시,382,"52,742","1,833","54,957"
20-Dec,경북,성주군,201,"30,462","1,340","32,003"
20-Dec,경북,안동시,717,"81,989","2,618","85,324"
20-Dec,경북,영덕군,255,"18,804",304,"19,363"
20-Dec,경북,영양군,142,"9,650",112,"9,904"
20-Dec,경북,영주시,370,"55,323","1,532","57,225"
20-Dec,경북,영천시,305,"59,342","2,552","62,199"
20-Dec,경북,예천군,260,"29,532",490,"30,282"
20-Dec,경북,울릉군,151,"5,109",493,"5,753"
20-Dec,경북,울진군,309,"26,009",363,"26,681"
20-Dec,경북,의성군,317,"30,572",982,"31,871"
20-Dec,경북,청도군,221,"24,789",780,"25,790"
20-Dec,경북,청송군,197,"15,551",209,"15,957"
20-Dec,경북,칠곡군,316,"67,889","2,324","70,529"
20-Dec,경북,포항시 남구,456,"119,897","8,471","128,824"
20-Dec,경북,포항시 북구,332,"138,989","3,815","143,136"
20-Dec,경북,계,"7,563","1,419,411","48,415","1,475,389"
20-Dec,경남,거제시,357,"105,850","2,089","108,296"
20-Dec,경남,거창군,263,"31,903",808,"32,974"
20-Dec,경남,고성군,225,"26,198",602,"27,025"
20-Dec,경남,김해시,650,"273,530","7,322","281,502"
20-Dec,경남,남해군,276,"19,646",461,"20,383"
20-Dec,경남,밀양시,326,"55,459","3,988","59,773"
20-Dec,경남,사천시,311,"56,161","1,531","58,003"
20-Dec,경남,산청군,242,"19,963",784,"20,989"
20-Dec,경남,양산시,421,"163,760","10,078","174,259"
20-Dec,경남,의령군,202,"14,340",708,"15,250"
20-Dec,경남,진주시,634,"164,161","6,425","171,220"
20-Dec,경남,창녕군,237,"35,237",877,"36,351"
20-Dec,경남,창원시 마산합포구,322,"95,564","2,878","98,764"
20-Dec,경남,창원시 마산회원구,179,"94,751","4,626","99,556"
20-Dec,경남,창원시 성산구,142,"117,102","3,222","120,466"
20-Dec,경남,창원시 의창구,930,"140,850","46,179","187,959"
20-Dec,경남,창원시 진해구,210,"90,571","1,810","92,591"
20-Dec,경남,통영시,324,"52,356","1,399","54,079"
20-Dec,경남,하동군,228,"24,013",399,"24,640"
20-Dec,경남,함안군,191,"40,330","19,383","59,904"
20-Dec,경남,함양군,217,"19,276",425,"19,918"
20-Dec,경남,합천군,267,"23,073",625,"23,965"
20-Dec,경남,계,"7,154","1,664,094","116,619","1,787,867"
20-Dec,제주,서귀포시,812,"103,336","2,013","106,161"
20-Dec,제주,제주시,"1,636","278,584","228,961","509,181"
20-Dec,제주,계,"2,448","381,920","230,974","615,342"
21-Jan,서울,강남구,396,"217,198","19,127","236,721"
21-Jan,서울,강동구,292,"141,172","8,888","150,352"
21-Jan,서울,강북구,316,"71,178","4,268","75,762"
21-Jan,서울,강서구,334,"185,637","18,956","204,927"
21-Jan,서울,관악구,319,"113,410","5,577","119,306"
21-Jan,서울,광진구,295,"92,893","5,568","98,756"
21-Jan,서울,구로구,294,"132,055","12,680","145,029"
21-Jan,서울,금천구,136,"82,523","5,967","88,626"
21-Jan,서울,노원구,322,"143,259","9,247","152,828"
21-Jan,서울,도봉구,277,"88,108","7,382","95,767"
21-Jan,서울,동대문구,307,"92,814","4,952","98,073"
21-Jan,서울,동작구,322,"102,432","2,793","105,547"
21-Jan,서울,마포구,337,"112,145","6,960","119,442"
21-Jan,서울,서대문구,457,"83,247","5,865","89,569"
21-Jan,서울,서초구,533,"168,092","10,729","179,354"
21-Jan,서울,성동구,345,"94,040","11,833","106,218"
21-Jan,서울,성북구,291,"114,988","5,204","120,483"
21-Jan,서울,송파구,389,"232,407","13,093","245,889"
21-Jan,서울,양천구,313,"142,323","8,638","151,274"
21-Jan,서울,영등포구,372,"136,935","9,171","146,478"
21-Jan,서울,용산구,338,"76,654","2,041","79,033"
21-Jan,서울,은평구,297,"124,914","7,063","132,274"
21-Jan,서울,종로구,"3,833","44,722","1,699","50,254"
21-Jan,서울,중구,"1,320","45,674","6,300","53,294"
21-Jan,서울,중랑구,254,"104,594","9,448","114,296"
21-Jan,서울,계,"12,689","2,943,414","203,449","3,159,552"
21-Jan,부산,강서구,308,"78,166","3,559","82,033"
21-Jan,부산,금정구,277,"80,505","7,637","88,419"
21-Jan,부산,기장군,261,"78,893","2,520","81,674"
21-Jan,부산,남구,227,"91,342","8,265","99,834"
21-Jan,부산,동구,180,"47,702","4,965","52,847"
21-Jan,부산,동래구,177,"92,830","4,024","97,031"
21-Jan,부산,부산진구,365,"123,715","20,060","144,140"
21-Jan,부산,북구,236,"100,062","3,456","103,754"
21-Jan,부산,사상구,286,"83,457","5,927","89,670"
21-Jan,부산,사하구,259,"106,912","6,671","113,842"
21-Jan,부산,서구,138,"28,978","1,395","30,511"
21-Jan,부산,수영구,164,"67,186","33,658","101,008"
21-Jan,부산,연제구,934,"90,151","10,696","101,781"
21-Jan,부산,영도구,225,"30,803","1,970","32,998"
21-Jan,부산,중구,305,"28,453","7,016","35,774"
21-Jan,부산,해운대구,317,"165,232","12,323","177,872"
21-Jan,부산,계,"4,659","1,294,387","134,142","1,433,188"
21-Jan,대구,남구,347,"56,106","1,659","58,112"
21-Jan,대구,달서구,525,"270,794","14,060","285,379"
21-Jan,대구,달성군,539,"133,503","5,063","139,105"
21-Jan,대구,동구,349,"153,537","11,098","164,984"
21-Jan,대구,북구,498,"201,790","7,547","209,835"
21-Jan,대구,서구,247,"69,371","3,920","73,538"
21-Jan,대구,수성구,568,"215,196","5,262","221,026"
21-Jan,대구,중구,297,"66,107","2,552","68,956"
21-Jan,대구,계,"3,370","1,166,404","51,161","1,220,935"
21-Jan,인천,강화군,345,"34,797","37,877","73,019"
21-Jan,인천,계양구,282,"119,255","197,611","317,148"
21-Jan,인천,남동구,830,"254,739","51,615","307,184"
21-Jan,인천,동구,92,"24,892","2,566","27,550"
21-Jan,인천,미추홀구,423,"161,147","10,332","171,902"
21-Jan,인천,부평구,336,"215,717","22,318","238,371"
21-Jan,인천,서구,426,"240,327","11,283","252,036"
21-Jan,인천,연수구,407,"193,187","8,042","201,636"
21-Jan,인천,옹진군,210,"12,017",210,"12,437"
21-Jan,인천,중구,684,"64,247","11,790","76,721"
21-Jan,인천,계,"4,035","1,320,325","353,644","1,678,004"
21-Jan,광주,광산구,508,"194,575","12,409","207,492"
21-Jan,광주,남구,211,"90,221","2,831","93,263"
21-Jan,광주,동구,234,"42,417","1,269","43,920"
21-Jan,광주,북구,607,"189,165","9,025","198,797"
21-Jan,광주,서구,632,"142,537","6,559","149,728"
21-Jan,광주,계,"2,192","658,915","32,093","693,200"
21-Jan,대전,대덕구,236,"85,918","6,830","92,984"
21-Jan,대전,동구,246,"90,290","4,677","95,213"
21-Jan,대전,서구,804,"205,648","7,472","213,924"
21-Jan,대전,유성구,377,"178,176","4,916","183,469"
21-Jan,대전,중구,233,"96,605","5,722","102,560"
21-Jan,대전,계,"1,896","656,637","29,617","688,150"
21-Jan,울산,남구,706,"153,748","7,339","161,793"
21-Jan,울산,동구,184,"61,711","1,062","62,957"
21-Jan,울산,북구,219,"114,765","3,828","118,812"
21-Jan,울산,울주군,379,"123,289","6,806","130,474"
21-Jan,울산,중구,330,"100,299","2,559","103,188"
21-Jan,울산,계,"1,818","553,812","21,594","577,224"
21-Jan,세종,세종특별자치시,776,"172,543","2,870","176,189"
21-Jan,세종,계,776,"172,543","2,870","176,189"
21-Jan,경기,가평군,373,"30,677",563,"31,613"
21-Jan,경기,고양시 덕양구,667,"178,841","3,917","183,425"
21-Jan,경기,고양시 일산동구,276,"124,076","5,773","130,125"
21-Jan,경기,고양시 일산서구,125,"116,441","4,231","120,797"
21-Jan,경기,과천시,718,"23,603",616,"24,937"
21-Jan,경기,광명시,304,"99,788","4,293","104,385"
21-Jan,경기,광주시,387,"191,019","8,350","199,756"
21-Jan,경기,구리시,262,"70,619","2,662","73,543"
21-Jan,경기,군포시,296,"98,290","5,125","103,711"
21-Jan,경기,김포시,509,"222,254","7,651","230,414"
21-Jan,경기,남양주시,739,"295,575","8,305","304,619"
21-Jan,경기,동두천시,214,"37,786","1,439","39,439"
21-Jan,경기,부천시,691,"294,411","12,473","307,575"
21-Jan,경기,성남시 분당구,369,"183,620","6,844","190,833"
21-Jan,경기,성남시 수정구,348,"77,130","2,519","79,997"
21-Jan,경기,성남시 중원구,341,"71,280","4,141","75,762"
21-Jan,경기,수원시 권선구,488,"192,476","8,689","201,653"
21-Jan,경기,수원시 영통구,225,"147,171","3,143","150,539"
21-Jan,경기,수원시 장안구,459,"101,320","3,854","105,633"
21-Jan,경기,수원시 팔달구,505,"68,637","2,952","72,094"
21-Jan,경기,시흥시,458,"245,313","7,864","253,635"
21-Jan,경기,안산시 단원구,554,"154,326","8,107","162,987"
21-Jan,경기,안산시 상록구,173,"142,677","5,009","147,859"
21-Jan,경기,안성시,392,"103,713","4,903","109,008"
21-Jan,경기,안양시 동안구,399,"115,655","6,280","122,334"
21-Jan,경기,안양시 만안구,165,"83,390","3,882","87,437"
21-Jan,경기,양주시,377,"107,335","3,169","110,881"
21-Jan,경기,양평군,564,"60,006","1,832","62,402"
21-Jan,경기,여주시,443,"62,694","7,478","70,615"
21-Jan,경기,연천군,305,"23,757","5,283","29,345"
21-Jan,경기,오산시,209,"106,246","3,459","109,914"
21-Jan,경기,용인시 기흥구,128,"188,041","6,404","194,573"
21-Jan,경기,용인시 수지구,49,"144,541","2,441","147,031"
21-Jan,경기,용인시 처인구,757,"130,677","7,409","138,843"
21-Jan,경기,의왕시,297,"64,433","2,929","67,659"
21-Jan,경기,의정부시,719,"162,617","5,096","168,432"
21-Jan,경기,이천시,406,"112,818","5,970","119,194"
21-Jan,경기,파주시,542,"212,908","10,293","223,743"
21-Jan,경기,평택시,723,"281,338","12,253","294,314"
21-Jan,경기,포천시,388,"85,388","9,878","95,654"
21-Jan,경기,하남시,396,"121,853","2,866","125,115"
21-Jan,경기,화성시,917,"444,626","12,007","457,550"
21-Jan,경기,계,"17,657","5,779,366","232,352","6,029,375"
21-Jan,강원,강릉시,538,"107,646","4,585","112,769"
21-Jan,강원,고성군,188,"14,268",228,"14,684"
21-Jan,강원,동해시,306,"45,134","1,432","46,872"
21-Jan,강원,삼척시,398,"32,200",767,"33,365"
21-Jan,강원,속초시,302,"38,213","1,379","39,894"
21-Jan,강원,양구군,192,"11,979",121,"12,292"
21-Jan,강원,양양군,187,"15,769",299,"16,255"
21-Jan,강원,영월군,334,"21,145",354,"21,833"
21-Jan,강원,원주시,583,"173,743","5,682","180,008"
21-Jan,강원,인제군,215,"18,421",288,"18,924"
21-Jan,강원,정선군,335,"20,721",484,"21,540"
21-Jan,강원,철원군,234,"24,106",304,"24,644"
21-Jan,강원,춘천시,820,"132,686","6,049","139,555"
21-Jan,강원,태백시,230,"20,032",711,"20,973"
21-Jan,강원,평창군,292,"25,544",497,"26,333"
21-Jan,강원,홍천군,427,"38,892","1,032","40,351"
21-Jan,강원,화천군,226,"12,965",187,"13,378"
21-Jan,강원,횡성군,252,"26,550",714,"27,516"
21-Jan,강원,계,"6,059","780,014","25,113","811,186"
21-Jan,충북,괴산군,210,"23,055",407,"23,672"
21-Jan,충북,단양군,223,"15,652",772,"16,647"
21-Jan,충북,보은군,231,"18,006",999,"19,236"
21-Jan,충북,영동군,247,"24,970",392,"25,609"
21-Jan,충북,옥천군,203,"26,936","1,128","28,267"
21-Jan,충북,음성군,232,"58,253","1,919","60,404"
21-Jan,충북,제천시,338,"66,907","3,421","70,666"
21-Jan,충북,증평군,88,"19,153",768,"20,009"
21-Jan,충북,진천군,213,"49,494","1,361","51,068"
21-Jan,충북,청원군,1,19,0,20
21-Jan,충북,청주시 상당구,516,"90,536","2,601","93,653"
21-Jan,충북,청주시 서원구,239,"94,349","4,318","98,906"
21-Jan,충북,청주시 청원구,347,"102,380","4,008","106,735"
21-Jan,충북,청주시 흥덕구,362,"128,516","7,818","136,696"
21-Jan,충북,충주시,593,"109,289","6,277","116,159"
21-Jan,충북,계,"4,043","827,515","36,189","867,747"
21-Jan,충남,계룡시,157,"22,069",534,"22,760"
21-Jan,충남,공주시,567,"53,822","2,548","56,937"
21-Jan,충남,금산군,186,"28,566","2,060","30,812"
21-Jan,충남,논산시,407,"60,900","2,386","63,693"
21-Jan,충남,당진시,394,"94,633","3,944","98,971"
21-Jan,충남,보령시,404,"52,130","1,326","53,860"
21-Jan,충남,부여군,305,"34,215","1,200","35,720"
21-Jan,충남,서산시,404,"94,565","3,399","98,368"
21-Jan,충남,서천군,240,"26,939",884,"28,063"
21-Jan,충남,아산시,531,"166,890","6,682","174,103"
21-Jan,충남,예산군,398,"42,966","1,363","44,727"
21-Jan,충남,천안시 동남구,270,"131,013","4,861","136,144"
21-Jan,충남,천안시 서북구,532,"195,256","5,509","201,297"
21-Jan,충남,청양군,250,"16,891",817,"17,958"
21-Jan,충남,태안군,303,"34,202",554,"35,059"
21-Jan,충남,홍성군,415,"52,701","1,478","54,594"
21-Jan,충남,계,"5,763","1,107,758","39,545","1,153,066"
21-Jan,전북,고창군,292,"30,404",574,"31,270"
21-Jan,전북,군산시,544,"130,168","6,311","137,023"
21-Jan,전북,김제시,289,"45,173","2,011","47,473"
21-Jan,전북,남원시,402,"40,747","4,466","45,615"
21-Jan,전북,무주군,194,"12,853",400,"13,447"
21-Jan,전북,부안군,256,"27,334",617,"28,207"
21-Jan,전북,순창군,237,"14,559",153,"14,949"
21-Jan,전북,완주군,410,"51,199","3,161","54,770"
21-Jan,전북,익산시,512,"136,054","5,914","142,480"
21-Jan,전북,임실군,217,"14,226",420,"14,863"
21-Jan,전북,장수군,250,"12,103",174,"12,527"
21-Jan,전북,전주시 덕진구,374,"171,219","7,154","178,747"
21-Jan,전북,전주시 완산구,722,"151,174","4,210","156,106"
21-Jan,전북,정읍시,336,"54,109","3,689","58,134"
21-Jan,전북,진안군,234,"13,957",226,"14,417"
21-Jan,전북,계,"5,269","905,279","39,480","950,028"
21-Jan,전남,강진군,218,"18,567","1,110","19,895"
21-Jan,전남,고흥군,299,"31,989",617,"32,905"
21-Jan,전남,곡성군,155,"14,704",728,"15,587"
21-Jan,전남,광양시,248,"82,513","5,893","88,654"
21-Jan,전남,구례군,137,"13,066",713,"13,916"
21-Jan,전남,나주시,469,"64,406","3,235","68,110"
21-Jan,전남,담양군,225,"26,761","1,574","28,560"
21-Jan,전남,목포시,430,"95,320","5,596","101,346"
21-Jan,전남,무안군,532,"46,375","1,036","47,943"
21-Jan,전남,보성군,201,"21,601","24,383","46,185"
21-Jan,전남,순천시,487,"140,169","5,155","145,811"
