date,city,district,official,personal,commercial,total
20-Dec,서울,강남구,393,"216,919","18,904","236,216"
20-Dec,서울,강동구,291,"140,678","8,897","149,866"
20-Dec,서울,강북구,316,"71,077","4,286","75,679"
20-Dec,서울,강서구,336,"185,718","19,000","205,054"
20-Dec,서울,관악구,319,"113,494","5,580","119,393"
20-Dec,서울,광진구,294,"92,897","5,692","98,883"
20-Dec,서울,구로구,293,"132,134","12,840","145,267"
20-Dec,서울,금천구,135,"82,333","5,927","88,395"
20-Dec,서울,노원구,325,"143,093","9,311","152,729"
20-Dec,서울,도봉구,275,"88,203","7,361","95,839"
20-Dec,서울,동대문구,307,"92,787","4,936","98,030"
20-Dec,서울,동작구,316,"102,483","2,789","105,588"
20-Dec,서울,마포구,340,"112,049","7,000","119,389"
20-Dec,서울,서대문구,457,"83,162","5,877","89,496"
20-Dec,서울,서초구,535,"167,856","12,662","181,053"
20-Dec,서울,성동구,341,"93,992","11,823","106,156"
20-Dec,서울,성북구,291,"114,489","5,489","120,269"
20-Dec,서울,송파구,392,"232,320","13,121","245,833"
20-Dec,서울,양천구,315,"142,468","8,666","151,449"
20-Dec,서울,영등포구,374,"136,630","9,167","146,171"
20-Dec,서울,용산구,340,"76,624","2,031","78,995"
20-Dec,서울,은평구,297,"124,829","7,072","132,198"
20-Dec,서울,종로구,"3,856","44,697","1,714","50,267"
20-Dec,서울,중구,"1,330","45,710","4,086","51,126"
20-Dec,서울,중랑구,255,"104,250","9,515","114,020"
20-Dec,서울,계,"12,723","2,940,892","203,746","3,157,361"
20-Dec,부산,강서구,310,"77,602","3,569","81,481"
20-Dec,부산,금정구,278,"80,578","7,665","88,521"
20-Dec,부산,기장군,260,"78,232","2,519","81,011"
20-Dec,부산,남구,228,"91,171","8,191","99,590"
20-Dec,부산,동구,180,"47,264","5,046","52,490"
20-Dec,부산,동래구,176,"92,494","3,987","96,657"
20-Dec,부산,부산진구,368,"123,231","19,407","143,006"
20-Dec,부산,북구,233,"99,968","3,450","103,651"
20-Dec,부산,사상구,287,"83,468","5,938","89,693"
20-Dec,부산,사하구,261,"106,831","6,712","113,804"
20-Dec,부산,서구,138,"28,913","1,396","30,447"
20-Dec,부산,수영구,159,"67,317","33,525","101,001"
20-Dec,부산,연제구,931,"90,185","10,598","101,714"
20-Dec,부산,영도구,225,"30,769","1,971","32,965"
20-Dec,부산,중구,307,"28,100","7,001","35,408"
20-Dec,부산,해운대구,317,"164,894","12,390","177,601"
