date,city,district,official,personal,commercial,total
15-Dec,서울,계,11146.0,2849525.0,195917.0,3056588.0
15-Dec,서울,강남구,345.0,223960.0,20482.0,244787.0
15-Dec,서울,강동구,215.0,128966.0,8481.0,137662.0
15-Dec,서울,강북구,280.0,70638.0,4842.0,75760.0
15-Dec,서울,강서구,293.0,176167.0,14612.0,191072.0
15-Dec,서울,관악구,255.0,114745.0,5789.0,120789.0
15-Dec,서울,광진구,267.0,90449.0,5376.0,96092.0
15-Dec,서울,구로구,214.0,127055.0,11003.0,138272.0
15-Dec,서울,금천구,121.0,74691.0,7872.0,82684.0
15-Dec,서울,노원구,249.0,144649.0,9747.0,154645.0
15-Dec,서울,도봉구,232.0,87888.0,7731.0,95851.0
15-Dec,서울,동대문구,264.0,90407.0,5936.0,96607.0
15-Dec,서울,동작구,266.0,99029.0,2772.0,102067.0
15-Dec,서울,마포구,273.0,109135.0,7507.0,116915.0
15-Dec,서울,서대문구,404.0,76900.0,5023.0,82327.0
15-Dec,서울,서초구,624.0,167845.0,10378.0,178847.0
15-Dec,서울,성동구,265.0,87847.0,7655.0,95767.0
15-Dec,서울,성북구,219.0,110867.0,5458.0,116544.0
15-Dec,서울,송파구,332.0,207009.0,11601.0,218942.0
15-Dec,서울,양천구,296.0,140201.0,9224.0,149721.0
15-Dec,서울,영등포구,299.0,135343.0,10136.0,145778.0
15-Dec,서울,용산구,344.0,73674.0,2060.0,76078.0
15-Dec,서울,은평구,223.0,119306.0,6953.0,126482.0
15-Dec,서울,종로구,3682.0,44574.0,1561.0,49817.0
15-Dec,서울,중구,997.0,47702.0,4289.0,52988.0
15-Dec,서울,중랑구,187.0,100478.0,9429.0,110094.0
15-Dec,부산,계,4216.0,1171930.0,79576.0,1255722.0
15-Dec,부산,강서구,289.0,51594.0,3468.0,55351.0
15-Dec,부산,금정구,272.0,77740.0,7486.0,85498.0
15-Dec,부산,기장군,202.0,61521.0,2093.0,63816.0
15-Dec,부산,남구,207.0,85753.0,8813.0,94773.0
15-Dec,부산,동구,221.0,23587.0,6315.0,30123.0
15-Dec,부산,동래구,166.0,84109.0,4160.0,88435.0
