"date","city","district","official","personal","commercial","total","formatted_date","year"
"15-Dec",서울,계,11146,2849525,195917,3056588,"2015-12-01",2015
"15-Dec",서울,강남구,345,223960,20482,244787,"2015-12-01",2015
"15-Dec",서울,강동구,215,128966,8481,137662,"2015-12-01",2015
"15-Dec",서울,강북구,280,70638,4842,75760,"2015-12-01",2015
"15-Dec",서울,강서구,293,176167,14612,191072,"2015-12-01",2015
"15-Dec",서울,관악구,255,114745,5789,120789,"2015-12-01",2015
"15-Dec",서울,광진구,267,90449,5376,96092,"2015-12-01",2015
"15-Dec",서울,구로구,214,127055,11003,138272,"2015-12-01",2015
"15-Dec",서울,금천구,121,74691,7872,82684,"2015-12-01",2015
"15-Dec",서울,노원구,249,144649,9747,154645,"2015-12-01",2015
"15-Dec",서울,도봉구,232,87888,7731,95851,"2015-12-01",2015
"15-Dec",서울,동대문구,264,90407,5936,96607,"2015-12-01",2015
"15-Dec",서울,동작구,266,99029,2772,102067,"2015-12-01",2015
"15-Dec",서울,마포구,273,109135,7507,116915,"2015-12-01",2015
"15-Dec",서울,서대문구,404,76900,5023,82327,"2015-12-01",2015
"15-Dec",서울,서초구,624,167845,10378,178847,"2015-12-01",2015
"15-Dec",서울,성동구,265,87847,7655,95767,"2015-12-01",2015
"15-Dec",서울,성북구,219,110867,5458,116544,"2015-12-01",2015
"15-Dec",서울,송파구,332,207009,11601,218942,"2015-12-01",2015
"15-Dec",서울,양천구,296,140201,9224,149721,"2015-12-01",2015
"15-Dec",서울,영등포구,299,135343,10136,145778,"2015-12-01",2015
"15-Dec",서울,용산구,344,73674,2060,76078,"2015-12-01",2015
"15-Dec",서울,은평구,223,119306,6953,126482,"2015-12-01",2015
"15-Dec",서울,종로구,3682,44574,1561,49817,"2015-12-01",2015
"15-Dec",서울,중구,997,47702,4289,52988,"2015-12-01",2015
"15-Dec",서울,중랑구,187,100478,9429,110094,"2015-12-01",2015
"15-Dec",부산,계,4216,1171930,79576,1255722,"2015-12-01",2015
"15-Dec",부산,강서구,289,51594,3468,55351,"2015-12-01",2015
"15-Dec",부산,금정구,272,77740,7486,85498,"2015-12-01",2015
"15-Dec",부산,기장군,202,61521,2093,63816,"2015-12-01",2015
"15-Dec",부산,남구,207,85753,8813,94773,"2015-12-01",2015
"15-Dec",부산,동구,221,23587,6315,30123,"2015-12-01",2015
"15-Dec",부산,동래구,166,84109,4160,88435,"2015-12-01",2015
"15-Dec",부산,부산진구,373,123237,6179,129789,"2015-12-01",2015
"15-Dec",부산,북구,206,97650,3837,101693,"2015-12-01",2015
"15-Dec",부산,사상구,253,84345,6177,90775,"2015-12-01",2015
"15-Dec",부산,사하구,235,104770,7393,112398,"2015-12-01",2015
"15-Dec",부산,서구,127,27352,1344,28823,"2015-12-01",2015
"15-Dec",부산,수영구,142,59280,2933,62355,"2015-12-01",2015
"15-Dec",부산,연제구,770,92530,5116,98416,"2015-12-01",2015
"15-Dec",부산,영도구,205,31460,2676,34341,"2015-12-01",2015
"15-Dec",부산,중구,302,15207,6165,21674,"2015-12-01",2015
"15-Dec",부산,해운대구,246,151795,5421,157462,"2015-12-01",2015
"15-Dec",대구,계,2728,1054536,48738,1106002,"2015-12-01",2015
"15-Dec",대구,남구,180,56523,2086,58789,"2015-12-01",2015
"15-Dec",대구,달서구,409,246499,12186,259094,"2015-12-01",2015
"15-Dec",대구,달성군,380,88707,3359,92446,"2015-12-01",2015
"15-Dec",대구,동구,294,140030,11188,151512,"2015-12-01",2015
"15-Dec",대구,북구,423,181335,8337,190095,"2015-12-01",2015
"15-Dec",대구,서구,191,76442,4375,81008,"2015-12-01",2015
"15-Dec",대구,수성구,481,202719,5212,208412,"2015-12-01",2015
"15-Dec",대구,중구,370,62281,1995,64646,"2015-12-01",2015
"15-Dec",인천,계,3355,1119203,232649,1355207,"2015-12-01",2015
"15-Dec",인천,강화군,278,28841,2410,31529,"2015-12-01",2015
"15-Dec",인천,계양구,234,117514,111638,229386,"2015-12-01",2015
"15-Dec",인천,남구,360,131644,49674,181678,"2015-12-01",2015
"15-Dec",인천,남동구,759,233781,23893,258433,"2015-12-01",2015
"15-Dec",인천,동구,80,25351,2521,27952,"2015-12-01",2015
"15-Dec",인천,부평구,309,191876,8890,201075,"2015-12-01",2015
"15-Dec",인천,서구,342,195920,10597,206859,"2015-12-01",2015
"15-Dec",인천,연수구,280,135054,7169,142503,"2015-12-01",2015
"15-Dec",인천,옹진군,162,10120,165,10447,"2015-12-01",2015
"15-Dec",인천,중구,551,49102,15692,65345,"2015-12-01",2015
"15-Dec",광주,계,1905,576225,33150,611280,"2015-12-01",2015
"15-Dec",광주,광산구,478,164753,9964,175195,"2015-12-01",2015
"15-Dec",광주,남구,161,80397,3353,83911,"2015-12-01",2015
"15-Dec",광주,동구,203,34508,1173,35884,"2015-12-01",2015
"15-Dec",광주,북구,431,169319,9119,178869,"2015-12-01",2015
"15-Dec",광주,서구,632,127248,9541,137421,"2015-12-01",2015
"15-Dec",대전,계,1689,603470,27795,632954,"2015-12-01",2015
"15-Dec",대전,대덕구,256,84392,6448,91096,"2015-12-01",2015
"15-Dec",대전,동구,156,85478,4496,90130,"2015-12-01",2015
"15-Dec",대전,서구,705,190452,6680,197837,"2015-12-01",2015
"15-Dec",대전,유성구,356,149035,4338,153729,"2015-12-01",2015
"15-Dec",대전,중구,216,94113,5833,100162,"2015-12-01",2015
"15-Dec",울산,계,1470,502603,21019,525092,"2015-12-01",2015
"15-Dec",울산,남구,596,147850,7479,155925,"2015-12-01",2015
"15-Dec",울산,동구,183,61451,899,62533,"2015-12-01",2015
"15-Dec",울산,북구,110,87518,4354,91982,"2015-12-01",2015
"15-Dec",울산,울주군,283,105547,5613,111443,"2015-12-01",2015
"15-Dec",울산,중구,298,100237,2674,103209,"2015-12-01",2015
"15-Dec",세종,계,549,90349,2242,93140,"2015-12-01",2015
"15-Dec",세종,세종특별자치시,549,90349,2242,93140,"2015-12-01",2015
"15-Dec",경기,계,14206,4687698,215187,4917091,"2015-12-01",2015
"15-Dec",경기,가평군,318,26040,705,27063,"2015-12-01",2015
"15-Dec",경기,고양시 덕양구,562,145828,3526,149916,"2015-12-01",2015
"15-Dec",경기,고양시 일산동구,256,106199,6248,112703,"2015-12-01",2015
"15-Dec",경기,고양시 일산서구,71,102533,3181,105785,"2015-12-01",2015
"15-Dec",경기,과천시,672,22067,573,23312,"2015-12-01",2015
"15-Dec",경기,광명시,268,100784,4346,105398,"2015-12-01",2015
"15-Dec",경기,광주시,329,143293,7532,151154,"2015-12-01",2015
"15-Dec",경기,구리시,197,58892,2318,61407,"2015-12-01",2015
"15-Dec",경기,군포시,232,91435,4729,96396,"2015-12-01",2015
"15-Dec",경기,김포시,367,145622,5916,151905,"2015-12-01",2015
"15-Dec",경기,남양주시,514,237226,6878,244618,"2015-12-01",2015
"15-Dec",경기,동두천시,187,34284,1190,35661,"2015-12-01",2015
"15-Dec",경기,부천시 소사구,81,65536,2847,68464,"2015-12-01",2015
"15-Dec",경기,부천시 오정구,115,60925,2369,63409,"2015-12-01",2015
"15-Dec",경기,부천시 원미구,436,144538,6058,151032,"2015-12-01",2015
"15-Dec",경기,성남시 분당구,312,177443,5710,183465,"2015-12-01",2015
"15-Dec",경기,성남시 수정구,233,59371,2327,61931,"2015-12-01",2015
"15-Dec",경기,성남시 중원구,245,72902,3967,77114,"2015-12-01",2015
"15-Dec",경기,수원시 권선구,305,146940,7091,154336,"2015-12-01",2015
"15-Dec",경기,수원시 영통구,199,120342,2681,123222,"2015-12-01",2015
"15-Dec",경기,수원시 장안구,485,101586,3663,105734,"2015-12-01",2015
"15-Dec",경기,수원시 팔달구,496,67910,3452,71858,"2015-12-01",2015
"15-Dec",경기,시흥시,399,172611,7119,180129,"2015-12-01",2015
"15-Dec",경기,안산시 단원구,486,138571,8141,147198,"2015-12-01",2015
