"date","city","district","official","personal","commercial","total","formatted_date","year"
"15-Dec",경기,안산시 상록구,154,132412,4481,137047,"2015-12-01",2015
"15-Dec",경기,안성시,309,84721,4900,89930,"2015-12-01",2015
"15-Dec",경기,안양시 동안구,365,116355,6408,123128,"2015-12-01",2015
"15-Dec",경기,안양시 만안구,129,76396,3851,80376,"2015-12-01",2015
"15-Dec",경기,양주시,301,82060,2907,85268,"2015-12-01",2015
"15-Dec",경기,양평군,447,48099,1550,50096,"2015-12-01",2015
"15-Dec",경기,여주시,319,54193,7119,61631,"2015-12-01",2015
"15-Dec",경기,연천군,258,20289,5682,26229,"2015-12-01",2015
"15-Dec",경기,오산시,195,80742,2889,83826,"2015-12-01",2015
"15-Dec",경기,용인시 기흥구,117,156911,8092,165120,"2015-12-01",2015
"15-Dec",경기,용인시 수지구,40,122865,1712,124617,"2015-12-01",2015
"15-Dec",경기,용인시 처인구,568,98930,6482,105980,"2015-12-01",2015
"15-Dec",경기,의왕시,249,54774,2834,57857,"2015-12-01",2015
"15-Dec",경기,의정부시,499,133039,4723,138261,"2015-12-01",2015
"15-Dec",경기,이천시,339,92132,5702,98173,"2015-12-01",2015
"15-Dec",경기,파주시,337,169325,10121,179783,"2015-12-01",2015
"15-Dec",경기,평택시,560,205002,9950,215512,"2015-12-01",2015
"15-Dec",경기,포천시,306,75422,10623,86351,"2015-12-01",2015
"15-Dec",경기,하남시,289,63887,2062,66238,"2015-12-01",2015
"15-Dec",경기,화성시,660,277266,10532,288458,"2015-12-01",2015
"15-Dec",강원,계,4880,664757,24403,694040,"2015-12-01",2015
"15-Dec",강원,강릉시,464,93778,4190,98432,"2015-12-01",2015
"15-Dec",강원,고성군,136,12512,248,12896,"2015-12-01",2015
"15-Dec",강원,동해시,263,39531,1338,41132,"2015-12-01",2015
"15-Dec",강원,삼척시,312,28427,697,29436,"2015-12-01",2015
"15-Dec",강원,속초시,269,32014,1267,33550,"2015-12-01",2015
"15-Dec",강원,양구군,123,10430,127,10680,"2015-12-01",2015
"15-Dec",강원,양양군,128,12844,246,13218,"2015-12-01",2015
"15-Dec",강원,영월군,286,18420,386,19092,"2015-12-01",2015
"15-Dec",강원,원주시,488,140616,5751,146855,"2015-12-01",2015
"15-Dec",강원,인제군,179,15729,226,16134,"2015-12-01",2015
"15-Dec",강원,정선군,262,18361,464,19087,"2015-12-01",2015
"15-Dec",강원,철원군,175,21369,315,21859,"2015-12-01",2015
"15-Dec",강원,춘천시,664,112550,5878,119092,"2015-12-01",2015
"15-Dec",강원,태백시,189,19438,865,20492,"2015-12-01",2015
"15-Dec",강원,평창군,253,22990,341,23584,"2015-12-01",2015
"15-Dec",강원,홍천군,315,32972,1103,34390,"2015-12-01",2015
"15-Dec",강원,화천군,165,11011,130,11306,"2015-12-01",2015
"15-Dec",강원,횡성군,209,21765,831,22805,"2015-12-01",2015
"15-Dec",충북,계,3287,694910,31872,730069,"2015-12-01",2015
"15-Dec",충북,괴산군,159,19481,308,19948,"2015-12-01",2015
"15-Dec",충북,단양군,151,13916,821,14888,"2015-12-01",2015
"15-Dec",충북,보은군,180,15751,931,16862,"2015-12-01",2015
"15-Dec",충북,영동군,197,22474,366,23037,"2015-12-01",2015
"15-Dec",충북,옥천군,169,23280,985,24434,"2015-12-01",2015
"15-Dec",충북,음성군,178,50105,1609,51892,"2015-12-01",2015
"15-Dec",충북,제천시,300,59116,3214,62630,"2015-12-01",2015
"15-Dec",충북,증평군,74,15974,748,16796,"2015-12-01",2015
"15-Dec",충북,진천군,175,34516,1067,35758,"2015-12-01",2015
"15-Dec",충북,청원군,1,42,1,44,"2015-12-01",2015
"15-Dec",충북,청주시 상당구,404,71438,2739,74581,"2015-12-01",2015
"15-Dec",충북,청주시 서원구,209,88487,5795,94491,"2015-12-01",2015
"15-Dec",충북,청주시 청원구,276,83090,3789,87155,"2015-12-01",2015
"15-Dec",충북,청주시 흥덕구,321,105224,5942,111487,"2015-12-01",2015
"15-Dec",충북,충주시,493,92016,3557,96066,"2015-12-01",2015
"15-Dec",충남,계,4623,925743,38796,969162,"2015-12-01",2015
"15-Dec",충남,계룡시,123,18357,448,18928,"2015-12-01",2015
"15-Dec",충남,공주시,495,48649,2063,51207,"2015-12-01",2015
"15-Dec",충남,금산군,155,25526,2539,28220,"2015-12-01",2015
"15-Dec",충남,논산시,318,54551,2123,56992,"2015-12-01",2015
"15-Dec",충남,당진시,320,79869,3582,83771,"2015-12-01",2015
"15-Dec",충남,보령시,312,46276,1251,47839,"2015-12-01",2015
"15-Dec",충남,부여군,223,30991,1361,32575,"2015-12-01",2015
"15-Dec",충남,서산시,358,77665,3416,81439,"2015-12-01",2015
"15-Dec",충남,서천군,195,24893,973,26061,"2015-12-01",2015
"15-Dec",충남,아산시,333,133345,6397,140075,"2015-12-01",2015
"15-Dec",충남,예산군,317,38674,1396,40387,"2015-12-01",2015
"15-Dec",충남,천안시 동남구,230,113313,5940,119483,"2015-12-01",2015
"15-Dec",충남,천안시 서북구,481,146961,4782,152224,"2015-12-01",2015
"15-Dec",충남,청양군,200,14706,808,15714,"2015-12-01",2015
"15-Dec",충남,태안군,215,29313,491,30019,"2015-12-01",2015
"15-Dec",충남,홍성군,348,42654,1226,44228,"2015-12-01",2015
"15-Dec",전북,계,4205,797990,36986,839181,"2015-12-01",2015
"15-Dec",전북,고창군,213,27320,519,28052,"2015-12-01",2015
"15-Dec",전북,군산시,415,117192,6759,124366,"2015-12-01",2015
"15-Dec",전북,김제시,242,40628,1868,42738,"2015-12-01",2015
"15-Dec",전북,남원시,363,35848,2608,38819,"2015-12-01",2015
"15-Dec",전북,무주군,151,11238,366,11755,"2015-12-01",2015
"15-Dec",전북,부안군,218,24984,610,25812,"2015-12-01",2015
"15-Dec",전북,순창군,178,12949,224,13351,"2015-12-01",2015
"15-Dec",전북,완주군,278,45042,3556,48876,"2015-12-01",2015
"15-Dec",전북,익산시,426,125661,6020,132107,"2015-12-01",2015
"15-Dec",전북,임실군,167,12756,410,13333,"2015-12-01",2015
"15-Dec",전북,장수군,181,10536,164,10881,"2015-12-01",2015
"15-Dec",전북,전주시 덕진구,348,132191,7435,139974,"2015-12-01",2015
"15-Dec",전북,전주시 완산구,551,141365,3926,145842,"2015-12-01",2015
"15-Dec",전북,정읍시,272,48110,2332,50714,"2015-12-01",2015
"15-Dec",전북,진안군,202,12170,189,12561,"2015-12-01",2015
"15-Dec",전남,계,5205,809187,83263,897655,"2015-12-01",2015
"15-Dec",전남,강진군,180,16595,995,17770,"2015-12-01",2015
"15-Dec",전남,고흥군,224,27216,705,28145,"2015-12-01",2015
"15-Dec",전남,곡성군,138,13038,840,14016,"2015-12-01",2015
"15-Dec",전남,광양시,227,70469,5867,76563,"2015-12-01",2015
"15-Dec",전남,구례군,99,11531,676,12306,"2015-12-01",2015
"15-Dec",전남,나주시,356,46906,3129,50391,"2015-12-01",2015
"15-Dec",전남,담양군,173,22970,1652,24795,"2015-12-01",2015
"15-Dec",전남,목포시,425,87272,5803,93500,"2015-12-01",2015
"15-Dec",전남,무안군,432,36549,909,37890,"2015-12-01",2015
"15-Dec",전남,보성군,201,19313,23072,42586,"2015-12-01",2015
"15-Dec",전남,순천시,429,116136,4685,121250,"2015-12-01",2015
"15-Dec",전남,신안군,180,17929,667,18776,"2015-12-01",2015
"15-Dec",전남,여수시,473,113800,6368,120641,"2015-12-01",2015
"15-Dec",전남,영광군,203,24254,738,25195,"2015-12-01",2015
"15-Dec",전남,영암군,211,29946,21523,51680,"2015-12-01",2015
"15-Dec",전남,완도군,197,21488,497,22182,"2015-12-01",2015
"15-Dec",전남,장성군,131,22225,1272,23628,"2015-12-01",2015
"15-Dec",전남,장흥군,169,18416,436,19021,"2015-12-01",2015
"15-Dec",전남,진도군,139,14439,289,14867,"2015-12-01",2015
"15-Dec",전남,함평군,146,15676,391,16213,"2015-12-01",2015
"15-Dec",전남,해남군,277,34544,583,35404,"2015-12-01",2015
"15-Dec",전남,화순군,195,28475,2166,30836,"2015-12-01",2015
"15-Dec",경북,계,6172,1252782,48541,1307495,"2015-12-01",2015
"15-Dec",경북,경산시,412,118728,4087,123227,"2015-12-01",2015
"15-Dec",경북,경주시,488,124736,5005,130229,"2015-12-01",2015
"15-Dec",경북,고령군,139,19253,432,19824,"2015-12-01",2015
"15-Dec",경북,구미시,432,186962,7613,195007,"2015-12-01",2015
"15-Dec",경북,군위군,104,12662,285,13051,"2015-12-01",2015
"15-Dec",경북,김천시,291,63232,1720,65243,"2015-12-01",2015
"15-Dec",경북,문경시,246,32411,909,33566,"2015-12-01",2015
"15-Dec",경북,봉화군,171,15610,206,15987,"2015-12-01",2015
"15-Dec",경북,상주시,332,46850,1796,48978,"2015-12-01",2015
"15-Dec",경북,성주군,167,26697,1489,28353,"2015-12-01",2015
"15-Dec",경북,안동시,450,74450,2587,77487,"2015-12-01",2015
"15-Dec",경북,영덕군,204,16946,308,17458,"2015-12-01",2015
"15-Dec",경북,영양군,121,8382,108,8611,"2015-12-01",2015
"15-Dec",경북,영주시,300,50701,1654,52655,"2015-12-01",2015
"15-Dec",경북,영천시,228,50997,2541,53766,"2015-12-01",2015
"15-Dec",경북,예천군,169,20233,413,20815,"2015-12-01",2015
"15-Dec",경북,울릉군,129,4448,332,4909,"2015-12-01",2015
"15-Dec",경북,울진군,228,23137,396,23761,"2015-12-01",2015
"15-Dec",경북,의성군,270,26496,1014,27780,"2015-12-01",2015
"15-Dec",경북,청도군,141,21850,643,22634,"2015-12-01",2015
"15-Dec",경북,청송군,182,13483,211,13876,"2015-12-01",2015
"15-Dec",경북,칠곡군,320,62582,1929,64831,"2015-12-01",2015
"15-Dec",경북,포항시 남구,342,112249,8939,121530,"2015-12-01",2015
"15-Dec",경북,포항시 북구,306,119687,3924,123917,"2015-12-01",2015
"15-Dec",경남,계,6076,1482942,75174,1564192,"2015-12-01",2015
"15-Dec",경남,거제시,264,99952,2761,102977,"2015-12-01",2015
"15-Dec",경남,거창군,226,27761,771,28758,"2015-12-01",2015
"15-Dec",경남,고성군,196,24227,703,25126,"2015-12-01",2015
"15-Dec",경남,김해시,558,235342,6487,242387,"2015-12-01",2015
"15-Dec",경남,남해군,195,17189,528,17912,"2015-12-01",2015
"15-Dec",경남,밀양시,278,49424,4320,54022,"2015-12-01",2015
"15-Dec",경남,사천시,264,49533,1568,51365,"2015-12-01",2015
"15-Dec",경남,산청군,173,17068,841,18082,"2015-12-01",2015
"15-Dec",경남,양산시,341,124971,8518,133830,"2015-12-01",2015
"15-Dec",경남,의령군,157,12487,914,13558,"2015-12-01",2015
"15-Dec",경남,진주시,545,142721,6715,149981,"2015-12-01",2015
"15-Dec",경남,창녕군,185,31168,798,32151,"2015-12-01",2015
"15-Dec",경남,창원시 마산합포구,314,85100,3059,88473,"2015-12-01",2015
"15-Dec",경남,창원시 마산회원구,167,96983,5339,102489,"2015-12-01",2015
"15-Dec",경남,창원시 성산구,139,120107,13381,133627,"2015-12-01",2015
"15-Dec",경남,창원시 의창구,845,120399,4776,126020,"2015-12-01",2015
"15-Dec",경남,창원시 진해구,185,75785,1566,77536,"2015-12-01",2015
"15-Dec",경남,통영시,286,49601,1593,51480,"2015-12-01",2015
"15-Dec",경남,하동군,198,22309,447,22954,"2015-12-01",2015
"15-Dec",경남,함안군,165,40787,8374,49326,"2015-12-01",2015
"15-Dec",경남,함양군,172,19293,765,20230,"2015-12-01",2015
"15-Dec",경남,합천군,223,20735,950,21908,"2015-12-01",2015
"15-Dec",제주,계,1845,338719,94451,435015,"2015-12-01",2015
"15-Dec",제주,서귀포시,604,83461,2166,86231,"2015-12-01",2015
"15-Dec",제주,제주시,1241,255258,92285,348784,"2015-12-01",2015
"16-Jan",서울,계,11140,2856048,196059,3063247,"2016-01-01",2016
"16-Jan",서울,강남구,342,224024,20559,244925,"2016-01-01",2016
"16-Jan",서울,강동구,217,129217,8474,137908,"2016-01-01",2016
"16-Jan",서울,강북구,279,70702,4848,75829,"2016-01-01",2016
"16-Jan",서울,강서구,293,176414,14693,191400,"2016-01-01",2016
"16-Jan",서울,관악구,255,115109,5797,121161,"2016-01-01",2016
"16-Jan",서울,광진구,264,90772,5344,96380,"2016-01-01",2016
"16-Jan",서울,구로구,216,127485,10773,138474,"2016-01-01",2016
"16-Jan",서울,금천구,121,75050,7849,83020,"2016-01-01",2016
"16-Jan",서울,노원구,250,144851,9765,154866,"2016-01-01",2016
"16-Jan",서울,도봉구,231,88249,7748,96228,"2016-01-01",2016
"16-Jan",서울,동대문구,265,90717,5848,96830,"2016-01-01",2016
"16-Jan",서울,동작구,268,99286,2782,102336,"2016-01-01",2016
"16-Jan",서울,마포구,271,109240,7508,117019,"2016-01-01",2016
"16-Jan",서울,서대문구,408,77517,5010,82935,"2016-01-01",2016
"16-Jan",서울,서초구,623,168030,10337,178990,"2016-01-01",2016
"16-Jan",서울,성동구,263,87835,7976,96074,"2016-01-01",2016
"16-Jan",서울,성북구,218,111099,5485,116802,"2016-01-01",2016
"16-Jan",서울,송파구,333,207313,11600,219246,"2016-01-01",2016
"16-Jan",서울,양천구,296,140634,9251,150181,"2016-01-01",2016
"16-Jan",서울,영등포구,299,135770,10148,146217,"2016-01-01",2016
"16-Jan",서울,용산구,344,73874,2042,76260,"2016-01-01",2016
"16-Jan",서울,은평구,220,119607,6952,126779,"2016-01-01",2016
"16-Jan",서울,종로구,3686,44766,1587,50039,"2016-01-01",2016
"16-Jan",서울,중구,992,47658,4235,52885,"2016-01-01",2016
"16-Jan",서울,중랑구,186,100829,9448,110463,"2016-01-01",2016
"16-Jan",부산,계,4216,1175567,79729,1259512,"2016-01-01",2016
"16-Jan",부산,강서구,287,52494,3519,56300,"2016-01-01",2016
"16-Jan",부산,금정구,271,77844,7510,85625,"2016-01-01",2016
"16-Jan",부산,기장군,202,61857,2100,64159,"2016-01-01",2016
"16-Jan",부산,남구,209,85844,8852,94905,"2016-01-01",2016
"16-Jan",부산,동구,221,23603,6297,30121,"2016-01-01",2016
"16-Jan",부산,동래구,166,84704,4223,89093,"2016-01-01",2016
"16-Jan",부산,부산진구,373,122826,6118,129317,"2016-01-01",2016
"16-Jan",부산,북구,206,98273,3835,102314,"2016-01-01",2016
"16-Jan",부산,사상구,250,84298,6219,90767,"2016-01-01",2016
"16-Jan",부산,사하구,235,104792,7374,112401,"2016-01-01",2016
"16-Jan",부산,서구,128,27451,1319,28898,"2016-01-01",2016
"16-Jan",부산,수영구,141,59485,2943,62569,"2016-01-01",2016
"16-Jan",부산,연제구,773,93347,5142,99262,"2016-01-01",2016
"16-Jan",부산,영도구,205,31500,2662,34367,"2016-01-01",2016
"16-Jan",부산,중구,302,14870,6163,21335,"2016-01-01",2016
"16-Jan",부산,해운대구,247,152379,5453,158079,"2016-01-01",2016
"16-Jan",대구,계,2732,1056908,48815,1108455,"2016-01-01",2016
"16-Jan",대구,남구,180,56660,2095,58935,"2016-01-01",2016
"16-Jan",대구,달서구,409,247408,12150,259967,"2016-01-01",2016
"16-Jan",대구,달성군,383,89438,3385,93206,"2016-01-01",2016
"16-Jan",대구,동구,293,140434,11233,151960,"2016-01-01",2016
"16-Jan",대구,북구,424,181555,8350,190329,"2016-01-01",2016
"16-Jan",대구,서구,192,76406,4382,80980,"2016-01-01",2016
"16-Jan",대구,수성구,481,202714,5274,208469,"2016-01-01",2016
"16-Jan",대구,중구,370,62293,1946,64609,"2016-01-01",2016
"16-Jan",인천,계,3372,1126969,234160,1364501,"2016-01-01",2016
"16-Jan",인천,강화군,285,28967,2385,31637,"2016-01-01",2016
"16-Jan",인천,계양구,233,118137,113533,231903,"2016-01-01",2016
"16-Jan",인천,남구,362,132297,49243,181902,"2016-01-01",2016
"16-Jan",인천,남동구,774,236012,25083,261869,"2016-01-01",2016
"16-Jan",인천,동구,81,25318,2508,27907,"2016-01-01",2016
"16-Jan",인천,부평구,309,193788,7772,201869,"2016-01-01",2016
"16-Jan",인천,서구,338,196968,10631,207937,"2016-01-01",2016
"16-Jan",인천,연수구,279,136020,7016,143315,"2016-01-01",2016
"16-Jan",인천,옹진군,162,10172,163,10497,"2016-01-01",2016
"16-Jan",인천,중구,549,49290,15826,65665,"2016-01-01",2016
"16-Jan",광주,계,1909,578478,33165,613552,"2016-01-01",2016
"16-Jan",광주,광산구,479,165727,9904,176110,"2016-01-01",2016
"16-Jan",광주,남구,161,80792,3343,84296,"2016-01-01",2016
"16-Jan",광주,동구,207,34549,1169,35925,"2016-01-01",2016
"16-Jan",광주,북구,432,170061,9183,179676,"2016-01-01",2016
"16-Jan",광주,서구,630,127349,9566,137545,"2016-01-01",2016
"16-Jan",대전,계,1692,604933,27840,634465,"2016-01-01",2016
"16-Jan",대전,대덕구,256,84396,6474,91126,"2016-01-01",2016
"16-Jan",대전,동구,155,85619,4490,90264,"2016-01-01",2016
"16-Jan",대전,서구,704,190866,6611,198181,"2016-01-01",2016
"16-Jan",대전,유성구,361,149709,4451,154521,"2016-01-01",2016
"16-Jan",대전,중구,216,94343,5814,100373,"2016-01-01",2016
"16-Jan",울산,계,1472,504935,21042,527449,"2016-01-01",2016
"16-Jan",울산,남구,596,148362,7473,156431,"2016-01-01",2016
"16-Jan",울산,동구,183,61894,892,62969,"2016-01-01",2016
"16-Jan",울산,북구,110,87852,4366,92328,"2016-01-01",2016
"16-Jan",울산,울주군,282,105994,5647,111923,"2016-01-01",2016
"16-Jan",울산,중구,301,100833,2664,103798,"2016-01-01",2016
"16-Jan",세종,계,550,92635,2255,95440,"2016-01-01",2016
"16-Jan",세종,세종특별자치시,550,92635,2255,95440,"2016-01-01",2016
"16-Jan",경기,계,14089,4713197,216596,4943882,"2016-01-01",2016
"16-Jan",경기,가평군,316,26192,705,27213,"2016-01-01",2016
"16-Jan",경기,고양시 덕양구,559,146689,3518,150766,"2016-01-01",2016
"16-Jan",경기,고양시 일산동구,254,106702,6688,113644,"2016-01-01",2016
"16-Jan",경기,고양시 일산서구,71,102827,3195,106093,"2016-01-01",2016
"16-Jan",경기,과천시,671,22123,578,23372,"2016-01-01",2016
"16-Jan",경기,광명시,265,101063,4342,105670,"2016-01-01",2016
"16-Jan",경기,광주시,326,144233,7573,152132,"2016-01-01",2016
"16-Jan",경기,구리시,194,59152,2332,61678,"2016-01-01",2016
"16-Jan",경기,군포시,232,91837,4695,96764,"2016-01-01",2016
"16-Jan",경기,김포시,365,146692,5938,152995,"2016-01-01",2016
"16-Jan",경기,남양주시,506,239267,6870,246643,"2016-01-01",2016
"16-Jan",경기,동두천시,186,34483,1192,35861,"2016-01-01",2016
"16-Jan",경기,부천시 소사구,79,65728,2858,68665,"2016-01-01",2016
"16-Jan",경기,부천시 오정구,112,61251,2367,63730,"2016-01-01",2016
"16-Jan",경기,부천시 원미구,434,144993,6334,151761,"2016-01-01",2016
"16-Jan",경기,성남시 분당구,311,178115,5693,184119,"2016-01-01",2016
"16-Jan",경기,성남시 수정구,231,60034,2340,62605,"2016-01-01",2016
"16-Jan",경기,성남시 중원구,243,73330,3969,77542,"2016-01-01",2016
"16-Jan",경기,수원시 권선구,301,147090,7066,154457,"2016-01-01",2016
"16-Jan",경기,수원시 영통구,199,120827,2673,123699,"2016-01-01",2016
"16-Jan",경기,수원시 장안구,477,101758,3659,105894,"2016-01-01",2016
"16-Jan",경기,수원시 팔달구,490,68438,3448,72376,"2016-01-01",2016
"16-Jan",경기,시흥시,403,173497,7154,181054,"2016-01-01",2016
"16-Jan",경기,안산시 단원구,484,138640,8112,147236,"2016-01-01",2016
"16-Jan",경기,안산시 상록구,153,133080,4500,137733,"2016-01-01",2016
"16-Jan",경기,안성시,309,84955,4903,90167,"2016-01-01",2016
"16-Jan",경기,안양시 동안구,363,116786,6412,123561,"2016-01-01",2016
"16-Jan",경기,안양시 만안구,107,76797,3866,80770,"2016-01-01",2016
"16-Jan",경기,양주시,303,82677,2886,85866,"2016-01-01",2016
